id,row_no,avg_period,date_from,time_from,full_csv_parsed,station,date_to,time_to,parameter,file_path
152,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,Total Hydrocarbon(THC),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/thc.csv
153,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/co.csv
154,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,PM 2.5(PM2.5),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/pm25.csv
155,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/nox.csv
156,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,Methane(CH4),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/ch4.csv
157,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,Wind Speed (WIND SPEED S),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/ws.csv
158,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,Bar Pressure(Bar Pressure),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/pressure.csv
159,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,Wind Direction(WIND DIR S),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/wd.csv
160,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,Ammonia(NH3),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/nh3.csv
161,19,4 Hours,01/09/2015,12:00 AM,1,Peenya,31/12/2015,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2015_PEENYA_3/no2.csv
162,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Benzene(Benzene),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/benzene.csv
163,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/no.csv
164,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Relative Humidity(RH),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/rh.csv
165,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Toluene(Toluene),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/toluene.csv
166,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/so2.csv
167,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/co.csv
168,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,PM 2.5(PM2.5),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/pm25.csv
169,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/nox.csv
170,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Wind Speed (WS),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/ws.csv
171,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Wind Direction(WD),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/wd.csv
172,19,4 Hours,01/05/2017,12:00 AM,1,BWSSB,31/08/2017,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2017_BWSSB_2/no2.csv
173,19,4 Hours,01/05/2017,12:00 AM,1,CRS,31/08/2017,11:45 PM,Nitric Oxide(NO),/home/thej/code/cpcb/data/raw/2017_CRS_2/no.csv
174,19,4 Hours,01/05/2017,12:00 AM,1,CRS,31/08/2017,11:45 PM,Sulfur Dioxide(SO2),/home/thej/code/cpcb/data/raw/2017_CRS_2/so2.csv
175,19,4 Hours,01/05/2017,12:00 AM,1,CRS,31/08/2017,11:45 PM,Carbon Monoxide(CO),/home/thej/code/cpcb/data/raw/2017_CRS_2/co.csv
176,19,4 Hours,01/05/2017,12:00 AM,1,CRS,31/08/2017,11:45 PM,Oxides of Nitrogen(NOx),/home/thej/code/cpcb/data/raw/2017_CRS_2/nox.csv
177,19,4 Hours,01/05/2017,12:00 AM,1,CRS,31/08/2017,11:45 PM,PM10(PM10),/home/thej/code/cpcb/data/raw/2017_CRS_2/pm10.csv
178,19,4 Hours,01/05/2017,12:00 AM,1,CRS,31/08/2017,11:45 PM,Nitrogen Dioxide(NO2),/home/thej/code/cpcb/data/raw/2017_CRS_2/no2.csv
179,19,4 Hours,01/05/2016,12:00 AM,1,Peenya,31/08/2016,11:45 PM,Non Methane Hydrocarbon(NMHC),/home/thej/code/cpcb/data/raw/2016_PEENYA_2/nmhc.csv
