id,NO,station,key,year,date,from_time,RH,SO2,CO,O3,PM25,NOX,WS,WD,NO2,CH4,NH3,BENZ,TOLU,TEMP,SR,AT,PM10,PRES,ETHYL,NMHC,THC
1,2.12,BTM,BTM_01_05_2017_08_00_00,2017,01/05/2017,08:00:00,30.67,2.91,0.55,97.53,20.51,13.08,0.68,97.72,17.61,,,,,,,,,,,,
2,1.95,BTM,BTM_01_05_2017_12_00_00,2017,01/05/2017,12:00:00,23.54,2.43,0.71,78.73,17.22,13.13,0.68,124.9,18.48,,,,,,,,,,,,
3,2,BTM,BTM_01_05_2017_16_00_00,2017,01/05/2017,16:00:00,32.71,3.01,0.72,75.02,22.06,13.61,1.75,110,19.41,,,,,,,,,,,,
4,2.11,BTM,BTM_01_05_2017_20_00_00,2017,01/05/2017,20:00:00,57.1,1.9,0.81,81.75,26.85,14.92,1.36,141.97,21.9,,,,,,,,,,,,
5,2.05,BTM,BTM_02_05_2017_00_00_00,2017,02/05/2017,00:00:00,58.08,0.53,0.78,105.57,16.7,12.22,1.45,127.95,16.47,,,,,,,,,,,,
6,1.97,BTM,BTM_02_05_2017_04_00_00,2017,02/05/2017,04:00:00,60.72,0.21,0.69,58.36,13.85,14.06,0.46,117.94,20.36,,,,,,,,,,,,
7,2.5,BTM,BTM_02_05_2017_08_00_00,2017,02/05/2017,08:00:00,42.31,2.24,0.71,88.05,21.91,14.72,0.74,129.37,21.16,,,,,,,,,,,,
8,1.99,BTM,BTM_02_05_2017_12_00_00,2017,02/05/2017,12:00:00,23.76,2.41,0.55,91.19,22.5,13.53,0.79,136.89,19.43,,,,,,,,,,,,
9,2.09,BTM,BTM_02_05_2017_16_00_00,2017,02/05/2017,16:00:00,27.35,0.62,0.73,83.37,30.57,14.02,1.31,87.82,20.09,,,,,,,,,,,,
10,2.02,BTM,BTM_02_05_2017_20_00_00,2017,02/05/2017,20:00:00,41.91,1.22,0.67,55.11,44.17,15.58,1.13,99.01,23.41,,,,,,,,,,,,
11,2.13,BTM,BTM_03_05_2017_00_00_00,2017,03/05/2017,00:00:00,66.68,6.38,0.92,44.71,32.07,13.02,0.83,136.37,18.04,,,,,,,,,,,,
12,2.07,BTM,BTM_03_05_2017_04_00_00,2017,03/05/2017,04:00:00,70.04,5.97,0.91,49.66,25.3,13.02,0.96,183.7,18.07,,,,,,,,,,,,
13,1.41,BTM,BTM_05_05_2017_00_00_00,2017,05/05/2017,00:00:00,50.25,3.56,0.42,18.55,65.33,14.29,0.41,106.16,22.53,,,,,,,,,,,,
14,1.66,BTM,BTM_05_05_2017_08_00_00,2017,05/05/2017,08:00:00,42.59,0.74,0.52,90.98,29.63,12.93,0.57,150.35,18.53,,,,,,,,,,,,
15,1.85,BTM,BTM_08_05_2017_08_00_00,2017,08/05/2017,08:00:00,66.79,,0.77,43.27,32.4,15.65,1.48,108.48,23.27,,,,,,,,,,,,
16,1.79,BTM,BTM_08_05_2017_12_00_00,2017,08/05/2017,12:00:00,49.95,2.56,0.49,70.84,20.01,13.77,1.04,249.98,20.04,,,,,,,,,,,,
17,1.84,BTM,BTM_11_05_2017_04_00_00,2017,11/05/2017,04:00:00,82.7,3.18,0.87,37.36,10.53,12.94,0.22,171.01,17.54,,,,,,,,,,,,
18,2.32,BTM,BTM_11_05_2017_08_00_00,2017,11/05/2017,08:00:00,56.21,7.63,0.53,4.06,28.73,13.39,1.45,218.23,18.45,,,,,,,,,,,,
19,2.12,BTM,BTM_11_05_2017_12_00_00,2017,11/05/2017,12:00:00,53.56,6.99,0.83,2.12,18.42,13.39,1.16,223.71,18.76,,,,,,,,,,,,
20,2.18,BTM,BTM_11_05_2017_16_00_00,2017,11/05/2017,16:00:00,60.65,7.49,0.58,,25.03,14.31,0.91,104.57,20.56,,,,,,,,,,,,
21,1.93,BTM,BTM_12_05_2017_08_00_00,2017,12/05/2017,08:00:00,57.99,6.74,0.38,4.06,28.73,12.79,1.78,199.5,19.14,,,,,,,,,,,,
22,1.84,BTM,BTM_12_05_2017_12_00_00,2017,12/05/2017,12:00:00,49.03,7.59,1.06,65.97,18.01,13.77,1.05,85.47,19.99,,,,,,,,,,,,
23,1.26,BTM,BTM_12_05_2017_16_00_00,2017,12/05/2017,16:00:00,39.28,7.92,0.39,17.21,,7.04,1.16,77.91,12.48,,,,,,,,,,,,
24,2.25,BTM,BTM_12_05_2017_20_00_00,2017,12/05/2017,20:00:00,50.89,0.8,0.48,17.33,44.89,16.76,1.27,121.54,25.47,,,,,,,,,,,,
25,1.91,BTM,BTM_13_05_2017_00_00_00,2017,13/05/2017,00:00:00,69,4,0.8,33.76,36.95,14.15,1.42,93.91,20.64,,,,,,,,,,,,
26,2,BTM,BTM_13_05_2017_08_00_00,2017,13/05/2017,08:00:00,66.18,3.66,0.85,53.71,17.24,13.08,1.39,216.67,18.31,,,,,,,,,,,,
27,2.58,BTM,BTM_13_05_2017_12_00_00,2017,13/05/2017,12:00:00,23.69,6.34,0.79,86.83,21.74,15.7,0.72,104.05,22.78,,,,,,,,,,,,
28,2.12,BTM,BTM_13_05_2017_16_00_00,2017,13/05/2017,16:00:00,33.14,5.87,0.64,69.22,38.28,15.17,0.62,119.54,22.42,,,,,,,,,,,,
29,1.94,BTM,BTM_13_05_2017_20_00_00,2017,13/05/2017,20:00:00,46.39,2.13,0.75,26.55,55.86,17.91,0.36,144.85,28.3,,,,,,,,,,,,
30,2.22,BTM,BTM_14_05_2017_00_00_00,2017,14/05/2017,00:00:00,71.55,3.97,0.76,40.29,38.04,16.39,1.77,94.34,18.06,,,,,,,,,,,,
31,2.07,BTM,BTM_14_05_2017_04_00_00,2017,14/05/2017,04:00:00,87.18,4.54,0.69,32.99,21.66,12.44,1.27,210.8,16.69,,,,,,,,,,,,
32,2.06,BTM,BTM_14_05_2017_08_00_00,2017,14/05/2017,08:00:00,55.12,4.47,0.8,56.44,22.77,13.53,1.7,247.68,19.15,,,,,,,,,,,,
33,1.92,BTM,BTM_14_05_2017_12_00_00,2017,14/05/2017,12:00:00,11.57,7.22,0.89,88.48,19.19,13.15,1.1,242.24,18.59,,,,,,,,,,,,
34,1.82,BTM,BTM_14_05_2017_16_00_00,2017,14/05/2017,16:00:00,70.48,6.59,0.45,63.06,27.68,13.91,1.42,188.18,20.3,,,,,,,,,,,,
35,1.99,BTM,BTM_14_05_2017_20_00_00,2017,14/05/2017,20:00:00,64.81,2.43,0.47,46.04,19.33,14.82,1.14,236.38,21.89,,,,,,,,,,,,
36,2.04,BTM,BTM_15_05_2017_00_00_00,2017,15/05/2017,00:00:00,76.72,5.3,0.8,57.34,27.9,12.68,1.59,210.22,16.69,,,,,,,,,,,,
37,1.84,BTM,BTM_15_05_2017_04_00_00,2017,15/05/2017,04:00:00,76.29,5.14,0.88,42.02,18.55,13.96,1.35,246.69,20.36,,,,,,,,,,,,
38,1.85,BTM,BTM_15_05_2017_08_00_00,2017,15/05/2017,08:00:00,60.65,4.73,1.04,51.41,17.94,14.59,1.66,246.12,21.66,,,,,,,,,,,,
39,1.88,BTM,BTM_15_05_2017_12_00_00,2017,15/05/2017,12:00:00,39.46,7.38,0.6,63.82,19.07,14.01,1.57,238.96,20.42,,,,,,,,,,,,
40,2.07,BTM,BTM_15_05_2017_16_00_00,2017,15/05/2017,16:00:00,42.66,7.08,0.69,58.02,21.22,14.47,1.37,231.17,21.06,,,,,,,,,,,,
41,2.04,BTM,BTM_15_05_2017_20_00_00,2017,15/05/2017,20:00:00,50.21,3.15,0.61,29.59,21.61,18.14,0.74,210.87,28.63,,,,,,,,,,,,
42,1.95,BTM,BTM_16_05_2017_00_00_00,2017,16/05/2017,00:00:00,53.46,4.98,0.85,38.5,20.73,15.19,0.98,222.83,22.71,,,,,,,,,,,,
43,1.9,BTM,BTM_16_05_2017_04_00_00,2017,16/05/2017,04:00:00,76.93,4.89,0.83,43.99,23.51,13.37,1.24,238.29,19.06,,,,,,,,,,,,
44,1.94,BTM,BTM_16_05_2017_08_00_00,2017,16/05/2017,08:00:00,57.82,4.72,0.98,56.79,26.83,15.28,1.21,259.25,22.92,,,,,,,,,,,,
45,1.88,BTM,BTM_16_05_2017_12_00_00,2017,16/05/2017,12:00:00,34.19,6.97,0.68,89.53,26.13,14.7,1.24,250.76,21.82,,,,,,,,,,,,
46,1.97,BTM,BTM_16_05_2017_16_00_00,2017,16/05/2017,16:00:00,35.53,9.53,0.84,73.42,26.38,14.58,1.49,209.58,21.42,,,,,,,,,,,,
47,1.92,BTM,BTM_16_05_2017_20_00_00,2017,16/05/2017,20:00:00,62.32,8.07,0.67,42.03,33.24,14.58,1.41,195.09,21.51,,,,,,,,,,,,
48,2.17,BTM,BTM_17_05_2017_00_00_00,2017,17/05/2017,00:00:00,80.14,6.15,0.78,63.52,20.87,12.33,1.42,188.42,16.52,,,,,,,,,,,,
49,2.03,BTM,BTM_17_05_2017_04_00_00,2017,17/05/2017,04:00:00,69.42,6.42,0.73,55.57,16.57,13.64,1.57,246.82,19.42,,,,,,,,,,,,
50,2.01,BTM,BTM_17_05_2017_08_00_00,2017,17/05/2017,08:00:00,54.81,6.36,0.8,64.39,19.69,13.8,1.4,221.36,19.78,,,,,,,,,,,,
51,1.94,BTM,BTM_17_05_2017_12_00_00,2017,17/05/2017,12:00:00,42.15,8.54,0.94,75.23,17.84,13.21,1.74,238.07,18.67,,,,,,,,,,,,
52,1.95,BTM,BTM_17_05_2017_16_00_00,2017,17/05/2017,16:00:00,67.64,7.54,0.64,30.69,28.78,16.71,0.67,180.66,25.84,,,,,,,,,,,,
53,2.14,BTM,BTM_17_05_2017_20_00_00,2017,17/05/2017,20:00:00,73.55,3.88,0.58,21.97,30.21,15.68,1.1,232.62,23.43,,,,,,,,,,,,
54,2.04,BTM,BTM_18_05_2017_00_00_00,2017,18/05/2017,00:00:00,86.36,5.14,0.79,22.74,23.3,13.61,1.55,210.07,19.34,,,,,,,,,,,,
55,1.9,BTM,BTM_18_05_2017_04_00_00,2017,18/05/2017,04:00:00,87.43,4.37,0.63,14.73,20.77,12.67,1.4,221.91,17.62,,,,,,,,,,,,
56,1.99,BTM,BTM_18_05_2017_08_00_00,2017,18/05/2017,08:00:00,55.22,4.05,1.07,33.08,22.99,12.97,1.64,252.76,18.1,,,,,,,,,,,,
57,2.04,BTM,BTM_18_05_2017_12_00_00,2017,18/05/2017,12:00:00,38.24,5.8,1.03,62.56,26.75,14.67,1.14,264.24,21.52,,,,,,,,,,,,
58,1.99,BTM,BTM_18_05_2017_16_00_00,2017,18/05/2017,16:00:00,47.97,6.25,0.65,52.86,31.62,14.44,1.73,193.88,21.11,,,,,,,,,,,,
59,1.88,BTM,BTM_18_05_2017_20_00_00,2017,18/05/2017,20:00:00,90.87,2.68,0.73,58.11,24.06,12.9,1.87,109.89,18.14,,,,,,,,,,,,
60,2.08,BTM,BTM_19_05_2017_00_00_00,2017,19/05/2017,00:00:00,91.96,5.83,0.6,63.66,10.37,12.21,1.7,210.76,16.41,,,,,,,,,,,,
61,1.88,BTM,BTM_19_05_2017_04_00_00,2017,19/05/2017,04:00:00,88.91,6.1,0.82,49.38,9.64,13.3,1.23,236.94,18.95,,,,,,,,,,,,
62,2.03,BTM,BTM_19_05_2017_08_00_00,2017,19/05/2017,08:00:00,65.06,5.58,0.88,51.76,19.71,14.81,1.4,248.69,21.81,,,,,,,,,,,,
63,2,BTM,BTM_19_05_2017_12_00_00,2017,19/05/2017,12:00:00,45.44,7.55,0.89,60.57,20.41,13.73,1.46,275.7,19.64,,,,,,,,,,,,
64,2.04,BTM,BTM_19_05_2017_16_00_00,2017,19/05/2017,16:00:00,46.28,7.69,0.85,22.49,31.65,15.42,0.75,269.53,23.05,,,,,,,,,,,,
65,2.16,BTM,BTM_19_05_2017_20_00_00,2017,19/05/2017,20:00:00,74.47,4.15,0.49,36.95,27.79,13.05,1.83,196.88,18.02,,,,,,,,,,,,
66,1.96,BTM,BTM_20_05_2017_00_00_00,2017,20/05/2017,00:00:00,71.66,6.27,0.71,57.79,18.26,12.75,1.38,97.44,17.7,,,,,,,,,,,,
67,1.99,BTM,BTM_20_05_2017_04_00_00,2017,20/05/2017,04:00:00,65.46,6.01,0.77,45.51,13.88,13.64,1.1,196.35,19.49,,,,,,,,,,,,
68,2.05,BTM,BTM_20_05_2017_08_00_00,2017,20/05/2017,08:00:00,62.19,5.92,0.93,46.04,28.68,13.26,1.41,238.03,18.61,,,,,,,,,,,,
69,1.79,BTM,BTM_20_05_2017_12_00_00,2017,20/05/2017,12:00:00,29.86,8.09,1.08,59.72,23.62,12.03,1.22,271.25,16.47,,,,,,,,,,,,
70,2.01,BTM,BTM_20_05_2017_16_00_00,2017,20/05/2017,16:00:00,27.74,9.41,0.78,40.45,30.93,11.53,0.86,245.07,15.11,,,,,,,,,,,,
71,1.97,BTM,BTM_20_05_2017_20_00_00,2017,20/05/2017,20:00:00,74.4,5.41,0.61,50.12,30.37,13.37,1.33,132.95,18.95,,,,,,,,,,,,
72,2.05,BTM,BTM_21_05_2017_00_00_00,2017,21/05/2017,00:00:00,70.52,6.57,0.79,67.06,13.76,12.01,1.63,173.29,16.05,,,,,,,,,,,,
73,2.15,BTM,BTM_21_05_2017_04_00_00,2017,21/05/2017,04:00:00,58.44,7.1,0.86,34.62,15.64,13.62,0.9,264.65,19.2,,,,,,,,,,,,
74,2.04,BTM,BTM_21_05_2017_08_00_00,2017,21/05/2017,08:00:00,45.81,7.24,0.96,40.53,23.47,13.48,1,271.62,19.07,,,,,,,,,,,,
75,1.79,BTM,BTM_21_05_2017_12_00_00,2017,21/05/2017,12:00:00,29.33,7.78,0.94,61.18,22.95,10.27,1,276.59,12.87,,,,,,,,,,,,
76,1.91,BTM,BTM_21_05_2017_16_00_00,2017,21/05/2017,16:00:00,36.55,8.98,0.65,37.93,26.87,10.08,0.81,255.11,12.3,,,,,,,,,,,,
77,2.01,BTM,BTM_21_05_2017_20_00_00,2017,21/05/2017,20:00:00,50.07,7.26,0.55,38.96,28.65,12.08,1.13,192.52,16.26,,,,,,,,,,,,
78,1.87,BTM,BTM_22_05_2017_00_00_00,2017,22/05/2017,00:00:00,57.65,5.77,0.83,36.51,20.12,11.86,1.28,234.89,16.01,,,,,,,,,,,,
79,2.04,BTM,BTM_22_05_2017_04_00_00,2017,22/05/2017,04:00:00,80.81,5.57,0.88,17.77,19.47,12.86,0.71,248.1,17.79,,,,,,,,,,,,
80,2.05,BTM,BTM_22_05_2017_08_00_00,2017,22/05/2017,08:00:00,67.75,5.81,1.03,24.86,30.56,12.4,1.44,247.7,16.84,,,,,,,,,,,,
81,1.96,BTM,BTM_22_05_2017_12_00_00,2017,22/05/2017,12:00:00,46.64,7.9,1.07,51.65,36.29,10.81,1.28,275.64,13.73,,,,,,,,,,,,
82,2.02,BTM,BTM_22_05_2017_16_00_00,2017,22/05/2017,16:00:00,46.64,9.55,0.87,29.98,35.42,11.13,0.97,269,14.3,,,,,,,,,,,,
83,1.82,BTM,BTM_22_05_2017_20_00_00,2017,22/05/2017,20:00:00,75.28,6.37,0.43,31.47,38.81,13.95,1.39,131.07,20.38,,,,,,,,,,,,
84,2.02,BTM,BTM_23_05_2017_00_00_00,2017,23/05/2017,00:00:00,87.08,5.29,0.61,36.66,17.41,13.93,1.43,232.62,20.03,,,,,,,,,,,,
85,1.85,BTM,BTM_23_05_2017_04_00_00,2017,23/05/2017,04:00:00,70.23,4.68,0.94,20.21,10.23,14.89,0.48,236.36,22.25,,,,,,,,,,,,
86,1.8,BTM,BTM_23_05_2017_08_00_00,2017,23/05/2017,08:00:00,54.87,5.62,1.27,44.45,32.61,13.33,0.9,251.34,19.12,,,,,,,,,,,,
87,2.04,BTM,BTM_23_05_2017_12_00_00,2017,23/05/2017,12:00:00,40.04,8.44,1.19,70.56,36.48,10.64,1.27,261.54,13.24,,,,,,,,,,,,
88,1.32,BTM,BTM_23_05_2017_16_00_00,2017,23/05/2017,16:00:00,35.45,8.99,1.03,38.65,,13.16,0.46,338.83,19.51,,,,,,,,,,,,
89,2.06,BTM,BTM_23_05_2017_20_00_00,2017,23/05/2017,20:00:00,69.26,8.2,0.07,27.32,39.19,15.5,0.94,216.74,23.19,,,,,,,,,,,,
90,1.8,BTM,BTM_24_05_2017_00_00_00,2017,24/05/2017,00:00:00,72.41,9.02,0.76,43.44,31.7,13.96,0.85,294.97,20.42,,,,,,,,,,,,
91,1.97,BTM,BTM_24_05_2017_04_00_00,2017,24/05/2017,04:00:00,85.8,5.93,0.88,37.95,18.3,13.49,0.97,222.29,19.04,,,,,,,,,,,,
92,2.02,BTM,BTM_24_05_2017_08_00_00,2017,24/05/2017,08:00:00,62.99,6.85,0.99,61.16,19.44,13.67,1.67,246.89,19.48,,,,,,,,,,,,
93,2.2,BTM,BTM_24_05_2017_12_00_00,2017,24/05/2017,12:00:00,27.38,8.31,1.03,64.89,27.88,11.88,1.31,265.72,15.54,,,,,,,,,,,,
94,2,BTM,BTM_24_05_2017_16_00_00,2017,24/05/2017,16:00:00,18.99,8.51,1.12,32.8,21.62,11.89,0.75,277.3,15.78,,,,,,,,,,,,
95,1.7,BTM,BTM_24_05_2017_20_00_00,2017,24/05/2017,20:00:00,59.86,5.94,0.38,31.9,35.66,14.22,1.17,233.39,21.14,,,,,,,,,,,,
96,1.95,BTM,BTM_25_05_2017_00_00_00,2017,25/05/2017,00:00:00,72.94,4.19,0.87,47.32,14.92,12.3,1.32,210.2,16.79,,,,,,,,,,,,
97,2.09,BTM,BTM_25_05_2017_04_00_00,2017,25/05/2017,04:00:00,85,3.94,0.84,36.81,17.44,12.62,1.79,237.33,17.24,,,,,,,,,,,,
98,1.83,BTM,BTM_25_05_2017_08_00_00,2017,25/05/2017,08:00:00,68.01,4.96,1.05,36.29,19.91,12.11,1.92,248.04,16.59,,,,,,,,,,,,
99,1.96,BTM,BTM_25_05_2017_12_00_00,2017,25/05/2017,12:00:00,50.31,7.81,0.92,50.08,25.61,10.45,1.51,255.76,12.99,,,,,,,,,,,,
100,1.9,BTM,BTM_25_05_2017_16_00_00,2017,25/05/2017,16:00:00,41.23,7.84,0.75,32.4,29.95,10.73,0.86,248.79,13.65,,,,,,,,,,,,
101,1.95,BTM,BTM_25_05_2017_20_00_00,2017,25/05/2017,20:00:00,67.73,4.23,0.71,31.79,35.91,12.63,1.88,189.08,17.47,,,,,,,,,,,,
102,1.9,BTM,BTM_26_05_2017_00_00_00,2017,26/05/2017,00:00:00,82.87,4.05,0.83,25.55,22.57,12.08,1.95,216.31,16.42,,,,,,,,,,,,
103,1.85,BTM,BTM_26_05_2017_04_00_00,2017,26/05/2017,04:00:00,86.22,4.59,0.86,16.12,22.39,12.34,1.72,239.15,17.03,,,,,,,,,,,,
104,1.77,BTM,BTM_26_05_2017_08_00_00,2017,26/05/2017,08:00:00,66.13,5.35,1.02,24.01,24.49,13.25,2.26,235.79,19.02,,,,,,,,,,,,
105,1.91,BTM,BTM_26_05_2017_12_00_00,2017,26/05/2017,12:00:00,51.86,8.75,1.15,38.47,25.69,11.78,1.83,239.97,15.83,,,,,,,,,,,,
106,1.68,BTM,BTM_27_05_2017_12_00_00,2017,27/05/2017,12:00:00,61.56,4.55,1.24,26.07,12.55,13.7,1.36,234.35,20.44,,,,,,,,,,,,
107,2.06,BTM,BTM_27_05_2017_16_00_00,2017,27/05/2017,16:00:00,76.78,4.26,0.45,41.97,20.54,13.33,1.92,180.35,18.73,,,,,,,,,,,,
108,1.71,BTM,BTM_28_05_2017_08_00_00,2017,28/05/2017,08:00:00,63.26,7.19,0.73,15.38,8.24,14.19,1.63,239.01,21.04,,,,,,,,,,,,
109,1.65,BTM,BTM_28_05_2017_12_00_00,2017,28/05/2017,12:00:00,58.29,7.08,0.32,18.37,24.26,11.69,1.5,246.5,16.88,,,,,,,,,,,,
110,1.93,BTM,BTM_28_05_2017_16_00_00,2017,28/05/2017,16:00:00,67.84,1.64,0.5,23.26,21.03,12.87,1.67,211.45,18,,,,,,,,,,,,
111,1.88,BTM,BTM_28_05_2017_20_00_00,2017,28/05/2017,20:00:00,78.37,,0.77,17.64,21.9,12.63,2.04,211.41,17.57,,,,,,,,,,,,
112,1.88,BTM,BTM_29_05_2017_00_00_00,2017,29/05/2017,00:00:00,84.23,1.1,0.68,14.46,14.69,12.44,1.34,220.09,17.18,,,,,,,,,,,,
113,2,BTM,BTM_29_05_2017_04_00_00,2017,29/05/2017,04:00:00,86.53,0.55,0.67,11.27,17.46,12.81,1.43,228.72,17.76,,,,,,,,,,,,
114,2.04,BTM,BTM_29_05_2017_08_00_00,2017,29/05/2017,08:00:00,67.92,0.4,0.95,15.67,19.82,13.99,1.88,249.39,20.16,,,,,,,,,,,,
115,1.99,BTM,BTM_29_05_2017_12_00_00,2017,29/05/2017,12:00:00,44.35,2.42,0.62,27.39,22.34,13.56,2.26,248.66,19.32,,,,,,,,,,,,
116,1.97,BTM,BTM_29_05_2017_16_00_00,2017,29/05/2017,16:00:00,45.16,1.66,0.3,26.48,22.64,13.88,1.65,221.88,20.07,,,,,,,,,,,,
117,1.84,BTM,BTM_29_05_2017_20_00_00,2017,29/05/2017,20:00:00,65.73,0.28,0.53,13.83,24.98,13.34,1.84,230.46,19.15,,,,,,,,,,,,
118,2.14,BTM,BTM_30_05_2017_00_00_00,2017,30/05/2017,00:00:00,79.51,0.7,0.73,15.22,15.64,13.09,1.75,212.8,18.12,,,,,,,,,,,,
119,2.11,BTM,BTM_30_05_2017_04_00_00,2017,30/05/2017,04:00:00,84.9,0.4,0.67,11.42,18.22,12.54,1.61,221.73,17.04,,,,,,,,,,,,
120,2,BTM,BTM_30_05_2017_08_00_00,2017,30/05/2017,08:00:00,59.13,0.15,0.87,17.65,16.96,13.81,2.17,244.41,19.86,,,,,,,,,,,,
121,1.97,BTM,BTM_30_05_2017_12_00_00,2017,30/05/2017,12:00:00,35.61,5.17,0.68,29.14,23.66,13.6,2.3,241.22,19.43,,,,,,,,,,,,
122,2.11,BTM,BTM_30_05_2017_16_00_00,2017,30/05/2017,16:00:00,50.24,4.55,0.28,24.57,22.07,13.6,1.93,202.01,19.25,,,,,,,,,,,,
123,1.97,BTM,BTM_30_05_2017_20_00_00,2017,30/05/2017,20:00:00,68.64,1.34,0.75,21.78,17.49,13.7,1.62,209.39,19.62,,,,,,,,,,,,
124,2.01,BTM,BTM_31_05_2017_00_00_00,2017,31/05/2017,00:00:00,83.47,1.67,0.8,14.67,16.85,12.27,1.8,210.39,16.64,,,,,,,,,,,,
125,1.96,BTM,BTM_31_05_2017_04_00_00,2017,31/05/2017,04:00:00,86.82,2.16,0.68,12.16,16.81,12.3,1.75,208.61,16.78,,,,,,,,,,,,
126,2.12,BTM,BTM_31_05_2017_08_00_00,2017,31/05/2017,08:00:00,71.59,2.45,0.77,19.58,16.38,12.77,1.93,211.7,17.49,,,,,,,,,,,,
127,1.84,BTM,BTM_31_05_2017_12_00_00,2017,31/05/2017,12:00:00,51.03,3.81,0.54,33.39,17.52,12.36,1.95,210.42,17.07,,,,,,,,,,,,
128,1.7,BTM,BTM_31_05_2017_16_00_00,2017,31/05/2017,16:00:00,52.46,2.94,0.25,24.35,20.46,13.69,1.29,196.1,20.05,,,,,,,,,,,,
129,1.88,BTM,BTM_31_05_2017_20_00_00,2017,31/05/2017,20:00:00,64.47,0.12,0.73,13.62,19.37,13.83,1.49,211.52,20.02,,,,,,,,,,,,
130,2,BTM,BTM_01_06_2017_00_00_00,2017,01/06/2017,00:00:00,78.66,1.53,0.7,14.58,12.58,12.47,1.52,208.97,17.06,,,,,,,,,,,,
131,2.11,BTM,BTM_01_06_2017_04_00_00,2017,01/06/2017,04:00:00,86.91,1.89,0.62,16.82,14.55,12.59,1.42,210.44,17.15,,,,,,,,,,,,
132,1.99,BTM,BTM_01_06_2017_08_00_00,2017,01/06/2017,08:00:00,67.56,1.6,1.14,22.29,16.71,13.79,1.33,217.8,19.82,,,,,,,,,,,,
133,1.91,BTM,BTM_01_06_2017_12_00_00,2017,01/06/2017,12:00:00,40.91,1.82,0.34,38.24,17.56,12.48,1.26,189.47,17.22,,,,,,,,,,,,
134,1.98,BTM,BTM_01_06_2017_16_00_00,2017,01/06/2017,16:00:00,42.39,0.76,0.4,35.43,15.35,13.48,1.04,189.86,19.16,,,,,,,,,,,,
135,2,BTM,BTM_01_06_2017_20_00_00,2017,01/06/2017,20:00:00,58.54,,0.75,15.96,21.57,14.79,1.32,185.09,21.82,,,,,,,,,,,,
136,2.02,BTM,BTM_02_06_2017_00_00_00,2017,02/06/2017,00:00:00,79.01,1.7,0.73,18.94,14.18,12.47,1.43,204.58,17.07,,,,,,,,,,,,
137,1.96,BTM,BTM_02_06_2017_04_00_00,2017,02/06/2017,04:00:00,82.36,2.03,0.8,16.73,15.3,12.54,1.28,216.14,17.29,,,,,,,,,,,,
138,2,BTM,BTM_02_06_2017_08_00_00,2017,02/06/2017,08:00:00,66.83,1.82,0.74,29.39,9.53,12.63,2.27,203.86,17.38,,,,,,,,,,,,
139,2.01,BTM,BTM_02_06_2017_12_00_00,2017,02/06/2017,12:00:00,44.24,5.11,0.78,35.3,16.4,12.41,1.56,202.26,16.93,,,,,,,,,,,,
140,1.85,BTM,BTM_02_06_2017_16_00_00,2017,02/06/2017,16:00:00,48.04,4.47,0.46,32.07,11.56,12.96,1.71,182.93,18.37,,,,,,,,,,,,
141,1.88,BTM,BTM_02_06_2017_20_00_00,2017,02/06/2017,20:00:00,63.68,2.25,0.57,19.29,12.79,12.99,1.5,211.44,18.35,,,,,,,,,,,,
142,1.74,BTM,BTM_03_06_2017_00_00_00,2017,03/06/2017,00:00:00,76.5,1.81,0.5,24.59,11.19,12.7,1.73,216.12,17.94,,,,,,,,,,,,
143,1.9,BTM,BTM_03_06_2017_04_00_00,2017,03/06/2017,04:00:00,81.58,1.46,0.63,25.28,8.38,12.28,1.73,205.56,16.84,,,,,,,,,,,,
144,2.03,BTM,BTM_03_06_2017_08_00_00,2017,03/06/2017,08:00:00,58.83,1.39,1.02,38.97,8.03,12.83,1.82,205.31,17.76,,,,,,,,,,,,
145,1.87,BTM,BTM_03_06_2017_12_00_00,2017,03/06/2017,12:00:00,41.62,5.61,0.61,44.82,18.96,11.77,2.14,206.57,17.37,,,,,,,,,,,,
146,1.89,BTM,BTM_03_06_2017_16_00_00,2017,03/06/2017,16:00:00,46.3,8.62,0.25,32.82,15.86,12.8,2.3,211.04,17.91,,,,,,,,,,,,
147,2.07,BTM,BTM_03_06_2017_20_00_00,2017,03/06/2017,20:00:00,66.96,5.51,0.6,24.3,11.36,13.02,2.27,211.09,18.09,,,,,,,,,,,,
148,2.02,BTM,BTM_04_06_2017_00_00_00,2017,04/06/2017,00:00:00,76.01,3.74,0.62,37.2,6.22,12.01,1.79,220.49,16.08,,,,,,,,,,,,
149,1.93,BTM,BTM_04_06_2017_04_00_00,2017,04/06/2017,04:00:00,78.12,2.19,0.61,30.5,7.06,12.48,1.38,227.95,17.2,,,,,,,,,,,,
150,1.73,BTM,BTM_04_06_2017_08_00_00,2017,04/06/2017,08:00:00,57.44,2.06,0.86,35.39,15.97,13.21,1.62,244.93,19,,,,,,,,,,,,
151,1.96,BTM,BTM_04_06_2017_12_00_00,2017,04/06/2017,12:00:00,42.51,2.37,0.85,38.14,17.1,12.92,1.64,225.88,18.05,,,,,,,,,,,,
152,2.07,BTM,BTM_04_06_2017_16_00_00,2017,04/06/2017,16:00:00,39.08,2.62,0.46,35.17,13.74,13.44,1.27,221.38,18.97,,,,,,,,,,,,
153,1.96,BTM,BTM_04_06_2017_20_00_00,2017,04/06/2017,20:00:00,54.39,4.95,0.31,32.28,14.96,13.09,1.51,225.93,18.4,,,,,,,,,,,,
